ID,Title,Rank,Score,ScoredBy,Popularity,Members,Favorites,Season,Episodes
8074,Highschool of the Dead,2545,7.3,554707,42,873552,8609,122,12
2548,Ai no Wakakusa Monogatari,1688,7.51,1910,5531,5253,25,28,48
10330,Bakugan Battle Brawlers: Mechtanium Surge,7129,6.27,11149,3062,20573,31,124,46
7580,Ikkitousen: Xtreme Xecutor,4294,6.87,15376,2217,37541,49,121,12
34914,New Game!!,789,7.87,72360,714,151443,683,150,12
9041,IS: Infinite Stratos,3915,6.97,228091,189,401035,2142,124,12
940,Inukami!,2429,7.33,24055,1654,58244,221,105,26
13125,Shinsekai yori,145,8.42,185567,124,498969,18421,131,25
330,Midori no Hibi,2301,7.36,66496,912,119590,550,97,13
16201,Aku no Hana,3077,7.17,47128,829,131010,2025,133,13
36654,Tsukumogami Kashimasu,4821,6.76,2748,4086,11001,4,154,12
2216,Shigurui,1850,7.47,24657,1333,78298,669,110,12
14355,Yama no Susume,4393,6.85,19077,1809,51326,95,132,12
800,NieA Under 7,4177,6.9,7350,2831,24256,99,81,13
3010,Kaiketsu Zorro,2588,7.29,3876,4746,7578,50,65,52
7193,Aoi Bungaku Series,893,7.81,42262,777,137688,1198,119,12
32438,Mayoiga,9432,5.62,81716,627,167734,261,145,12
497,Yami to Boushi to Hon no Tabibito,5377,6.65,8403,2908,23043,103,95,13
10465,Manyuu Hikenchou,7130,6.28,15736,1834,50456,167,126,12
293,Di Gi Charat,4639,6.79,6805,3567,15378,82,79,16
687,Tokyo Mew Mew,3619,7.05,44494,1114,94832,1196,89,52
3470,Special A,1205,7.68,124948,385,245968,2913,113,24
11371,Shin Tennis no Ouji-sama,1322,7.64,21180,2068,41623,213,128,13
129,Gensoumaden Saiyuuki,1244,7.66,15763,2066,41654,791,81,50
1589,Bartender,1966,7.43,18741,1589,61621,401,107,11
470,Okusama wa Joshikousei (TV),6508,6.41,7680,3170,19365,33,102,13
1492,Project ARMS,3532,7.07,2791,4299,9766,27,85,26
1490,Ginga Tetsudou Monogatari,2772,7.24,2086,4551,8454,38,95,26
27927,Urawa no Usagi-chan,9994,5.42,4306,3938,11992,5,141,12
237,Koukyoushihen Eureka Seven,408,8.13,139137,264,340244,8645,101,50
38680,Fruits Basket 1st Season,191,8.36,41576,632,166133,2038,157,25
3859,Top Secret: The Revelation,2268,7.37,2973,3589,15069,64,113,26
29941,Million Doll,10872,4.84,3621,4303,9750,6,142,11
343,Tsukuyomi: Moon Phase,3531,7.07,22529,1646,58436,280,99,25
4657,Arad Senki: Slap Up Party,4571,6.8,4586,3787,13257,33,117,26
135,Hikaru no Go,379,8.16,43679,1112,94953,1965,87,75
24,School Rumble,587,8,109990,405,239513,4775,99,26
31196,Cardfight!! Vanguard G: GIRS Crisis-hen,4403,6.84,2425,5279,5903,12,143,26
252,Madlax,3310,7.12,10366,2408,32326,144,97,26
16732,Kiniro Mosaic,2432,7.33,48011,831,130732,794,134,12
10156,Sacred Seven,5170,6.69,26594,1583,61891,77,126,12
3349,Kiddy GiRL-AND,4099,6.92,4971,3566,15392,42,119,24
3455,To LOVE-Ru,2988,7.2,194359,211,384443,3374,113,26
290,Seikai no Monshou,1029,7.75,14359,2222,37462,386,76,13
35222,Gakuen Babysitters,696,7.91,38742,1187,87851,702,152,12
10165,Nichijou,100,8.5,186067,136,476787,14882,125,26
1575,Code Geass: Hangyaku no Lelouch,33,8.76,741216,11,1189149,73880,107,25
23199,Durarara!!x2 Shou,467,8.08,159021,303,310472,912,140,12
23433,Shin Strange+,7046,6.3,5416,3986,11639,6,138,12
16035,Karneval,2707,7.26,63161,715,151228,1073,133,13
10370,Metal Fight Beyblade 4D,4251,6.88,8591,3587,15150,61,125,52
97,Last Exile,761,7.88,57050,795,135412,1750,93,26
2032,Wellber no Monogatari: Sisters of Wellber,4969,6.73,2052,4856,7166,6,109,13
